Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Aperiodic),2.862339555279418,0.15356285577485554,2.5592134703165916,2.7610516963254046,2.8606440796445938,2.9630651068285672,3.1609041518461884,0.0015462205341740692
a(Periodic),2.7771320976864837,0.15406499572097107,2.4824978386817071,2.6736518049601248,2.7783387354723335,2.8756818041418599,3.0842100632243685,0.0015546279579611493
a_std,0.69564168802952697,0.086516828605686033,0.54822031528737281,0.6352702121755478,0.68748199034922974,0.74748740591388785,0.88638538703596459,0.0012118756288018754
a_subj(Aperiodic).1,3.1170642237566448,0.12092261364223127,2.8940719105780115,3.0337087180693865,3.1123010994858387,3.1948710875631692,3.3673711207539965,0.0021118522714850688
a_subj(Aperiodic).2,1.7653837664587682,0.074112005693757227,1.6254218277060755,1.7151849069730813,1.7632777632478982,1.8155031296631143,1.9153400817275181,0.0011582519955718148
a_subj(Aperiodic).3,4.0592151580234193,0.16510285982122824,3.7527019592822328,3.9482650827581121,4.0534657117749529,4.1634545199566295,4.4000169819644075,0.0030680446971622357
a_subj(Aperiodic).4,2.8516581210146477,0.10672296562097842,2.6476336902442168,2.7785889106721187,2.8496765635395858,2.9206470187063265,3.0699302484780682,0.0017301784008513117
a_subj(Aperiodic).5,3.063584281053672,0.11577968586838076,2.8403627669173117,2.9841239956269088,3.0623776928993758,3.140652141613173,3.2973751277322552,0.0019723890708448931
a_subj(Aperiodic).6,3.3650258476689108,0.1372705189427264,3.1056798398318648,3.2723780180417563,3.3589403326835843,3.4543260810124266,3.6450116086472959,0.0022331577404510325
a_subj(Aperiodic).7,2.4453837933797899,0.08951958316220264,2.2745130169548133,2.385063739705946,2.4432389822880989,2.5053967919628577,2.6225938532720434,0.0013031941201082128
a_subj(Aperiodic).8,3.2286634936670282,0.10877342331912251,3.0200462858797641,3.1548805959624269,3.2272531010019083,3.2996539205681934,3.448624136748375,0.001701165014124677
a_subj(Aperiodic).9,2.4274155964957296,0.091723550993893718,2.2543533713412445,2.3653082430985051,2.424988043530242,2.487791949659083,2.6118827797610584,0.0013928506277627475
a_subj(Aperiodic).10,3.5942065462508705,0.13489734110520152,3.3416347470087842,3.5001182437714622,3.5922465529659258,3.6842492529925397,3.8624160620568144,0.0022500211998176299
a_subj(Aperiodic).11,2.0650233274883858,0.076254820400553078,1.9222084322219664,2.0130337757333807,2.0628814117186511,2.1158860601003315,2.2205052694400185,0.0013433773552697097
a_subj(Aperiodic).12,2.3457413416733552,0.082899149993177157,2.1861020431814708,2.2891719558223915,2.3450283395082794,2.4010353345802105,2.5112720242681621,0.0012441412080776296
a_subj(Aperiodic).13,4.4892879170297064,0.18238414693463734,4.1471637112442856,4.3663083015161828,4.4819190721091351,4.6101448389124231,4.8718995073179743,0.0025458748958749949
a_subj(Aperiodic).14,2.0833468603252454,0.076504890661574385,1.9407205321765735,2.0317851355143466,2.0802582048601979,2.1325183452719743,2.2414419722773449,0.0012900734487100193
a_subj(Aperiodic).15,2.9581087770303163,0.10325287979417361,2.7656748740826274,2.8878176364371142,2.955046441644881,3.0264020566232577,3.1662488160438045,0.0015427590290710133
a_subj(Aperiodic).16,2.492065336660326,0.092676304557958403,2.3152904252561139,2.4291667204179084,2.4910442839550067,2.5540468163379924,2.6765828357200139,0.0015454413835158966
a_subj(Aperiodic).17,3.3678098734795596,0.11458518904132609,3.1512558899397654,3.2903623519575662,3.3634709781711027,3.4431925845161344,3.6007203868146007,0.0015077237180373894
a_subj(Aperiodic).18,2.5565921538199734,0.10017969501933324,2.3718228421862722,2.4857282386766641,2.5523109468353518,2.6232756743775658,2.7606853470866652,0.0017561596544558712
a_subj(Aperiodic).19,3.1882622039677253,0.11216964413757238,2.9769905989603176,3.1115026291776591,3.1849804918005602,3.2618680300442016,3.4163755918657284,0.0017459722393109675
a_subj(Aperiodic).20,2.4043632032112763,0.085605754814146104,2.2417928568349192,2.3449300649847733,2.4027588352537128,2.4606025911530445,2.5753056395913498,0.0012194964693301937
a_subj(Periodic).1,2.9753473455640647,0.11739016660845691,2.754924111133306,2.8932082774133243,2.9725936066311114,3.051797270205685,3.2190084970657766,0.0022829269475407336
a_subj(Periodic).2,1.7406486055598791,0.066064588517980596,1.615146579219471,1.6950944831326393,1.7397544316697904,1.7849733599202189,1.87117426684727,0.0010960045686330439
a_subj(Periodic).3,3.9781164127296056,0.15800212063859476,3.6842476477498023,3.8687749236825155,3.9721517511945446,4.0795052009662074,4.3048603830727963,0.0025470051444436001
