Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Aperiodic),2.8892297469867678,0.15280571749805538,2.5901870507958646,2.7880244392298912,2.8885383081979641,2.9898495850605897,3.1906059166863008,0.0016726987664418117
a(Periodic),2.7591361756961001,0.15404223216312771,2.4630499722094767,2.6559928835521918,2.7553519147457619,2.8593790979284712,3.0697872416108858,0.0014864971361542674
a_std,0.69529883719255792,0.087700761819452369,0.55004385329478445,0.63304549059134918,0.68573746955995585,0.74738136422192891,0.89455418556278365,0.00096454157991960417
a_subj(Aperiodic).1,3.1495888977000073,0.1357282147411748,2.8935088957021953,3.0572250916086849,3.1461023699351176,3.2391149407238871,3.4265355071832007,0.0025874608010108499
a_subj(Aperiodic).2,1.7847659849516586,0.087704561214515128,1.6154618885618803,1.7245853594355758,1.7837548516721273,1.8426152267016189,1.9615553440958262,0.00153580655416602
a_subj(Aperiodic).3,4.0430756920538204,0.17183776426790814,3.724478798658819,3.9226645769294062,4.0366042073280166,4.1575206397071494,4.3943287314930748,0.0027971243565902467
a_subj(Aperiodic).4,2.8172873045676288,0.11902475082578037,2.5950840007771649,2.7356161438139375,2.812880825658802,2.894473637375893,3.0593435033305223,0.0021618865490841133
a_subj(Aperiodic).5,3.0523453223777919,0.13126876949197216,2.7989977442436844,2.9639311628697715,3.0495296776068623,3.1408979143967874,3.3144025032194038,0.0025208166026979562
a_subj(Aperiodic).6,3.3189365588952073,0.14754143502325123,3.039559517467211,3.2194710785969338,3.3162575101070599,3.416029670520333,3.6197676785871598,0.0025055561277266512
a_subj(Aperiodic).7,2.4495524835774316,0.10002635609166248,2.2572311451834124,2.3810392710673685,2.4491753368115337,2.5166163374713824,2.6489155284552415,0.0015546427584311189
a_subj(Aperiodic).8,3.1850395559045066,0.11957241172837078,2.9618543773706372,3.1009033846069487,3.1821298765966182,3.265129294198438,3.427161061191605,0.0016659256445967
a_subj(Aperiodic).9,2.5323128387354292,0.1073537997655018,2.331122526350669,2.4585957039227568,2.5294251674038231,2.6027810503732871,2.7509260209648208,0.0016941278042784951
a_subj(Aperiodic).10,3.6434872283699486,0.14262498922605085,3.3715144783721152,3.5454283870202317,3.6390518134147984,3.7402261726728723,3.9292734740447202,0.0023461009872347222
a_subj(Aperiodic).11,2.2033827108233934,0.091419464808099135,2.0286225022296795,2.141729576567605,2.2000758012790684,2.2624701700054106,2.3923195489262792,0.0018794874146304537
a_subj(Aperiodic).12,2.3083827187680392,0.090848397094861935,2.1354604120940479,2.2450187808692044,2.3058364510023264,2.368776879823896,2.4926675221646901,0.0015398003499691572
a_subj(Aperiodic).13,4.5263397833017134,0.20283376371793474,4.1534485823397684,4.3845422140460233,4.5191062640467612,4.6609516942896549,4.9382204555645224,0.0036044420195339285
a_subj(Aperiodic).14,2.1223513828326643,0.093927663577180645,1.9468333288773441,2.0593943436577731,2.1202680788175043,2.1833391023524658,2.3164069527838347,0.0017313083250893046
a_subj(Aperiodic).15,2.9773139370607411,0.11203672724568738,2.7705007574821665,2.900674854056009,2.9738516756210163,3.0527529042266375,3.2050421107313531,0.0017553317459607118
a_subj(Aperiodic).16,2.4964346180311972,0.10185172793110936,2.3076524613570992,2.426624626348199,2.4936806297238001,2.561988859584464,2.7080277132369517,0.0017936903882568109
a_subj(Aperiodic).17,3.40250353074773,0.13419875595237013,3.1501029941940741,3.3094835375042972,3.3997958899954215,3.4897611642616928,3.6775945194542192,0.0021622732626318262
a_subj(Aperiodic).18,2.5047153916203819,0.10703145725100451,2.3043700632045363,2.4315768559432978,2.5010942070763411,2.573778262003767,2.7280480268595273,0.0020771897200335034
a_subj(Aperiodic).19,3.2803139423048329,0.13519916652476999,3.0292602286279333,3.1864977191663644,3.2771479924537181,3.3693169196244943,3.5577291199049772,0.0022977538863216524
a_subj(Aperiodic).20,2.5157145145282858,0.10204880081612637,2.322748498811201,2.4442402610395733,2.5119749387020169,2.5847022389908907,2.7221428469619435,0.0016381165448417997
a_subj(Periodic).1,2.925082517227378,0.12257589509420076,2.6892049716843847,2.8420873544638914,2.9207156845052977,3.0065185396420318,3.1783375181555193,0.002342788012245002
a_subj(Periodic).2,1.7166855390467266,0.075446753221804386,1.5764403617476659,1.6644295360491252,1.7152789765815402,1.7674989830523771,1.8664755782337523,0.0012805329065027906
a_subj(Periodic).3,3.97571308478945,0.16946370753956685,3.6598893689084528,3.8579828741778082,3.9713858954412671,4.0896512599502062,4.3217600110574779,0.003156584372298492
