Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.8353766756795431,0.16842670842297072,2.5304061287545663,2.7224252336861214,2.8278270610305354,2.9422691999088304,3.1870138025643691,0.0015714355849158093
a_std,0.72542656941835182,0.13424279153903856,0.51736380937885929,0.63194188387331951,0.70590835243703853,0.79654248674923356,1.0480398675960783,0.0018695308627101875
a_subj.1,3.0520645595421958,0.09795196475617228,2.8678533550187577,2.9856360626227323,3.0485868353224141,3.1167636798419394,3.2481809104471773,0.0018499907816049114
a_subj.2,1.7407794562130023,0.057530779663525558,1.6323655066905662,1.7008683594217369,1.7401579365571742,1.7791859038912929,1.8559912117909008,0.0011124909925656807
a_subj.3,4.0404862628757172,0.13009651191872074,3.798388165992824,3.95150557203266,4.0364070614013201,4.126778340866859,4.3012809880260816,0.0021824900533463061
a_subj.4,2.7724012692030389,0.08356392936635175,2.6156916519645472,2.7143835922858899,2.7706092162554565,2.8281822906273621,2.941885933836657,0.0016293880200383775
a_subj.5,3.095014226932193,0.093805738425092211,2.9104178218088692,3.0320355599084214,3.0938271388219358,3.1586126628357869,3.2826110960724968,0.0015242264560706943
a_subj.6,3.4207284319925551,0.11233663534583159,3.2064558821257068,3.3432916940341846,3.4179057687109533,3.4948330004309121,3.6476026561614092,0.0021986763296165911
a_subj.7,2.4942964937940753,0.073814127940178914,2.3547877462319913,2.4438587203604567,2.4922728149134783,2.5428129208468011,2.6453577775219088,0.0012220997325903663
a_subj.8,3.1232210808743694,0.086188108524793292,2.9595899371212377,3.0641146166831699,3.1204880801511528,3.1808081291432746,3.2984972701396917,0.0013030154614936623
a_subj.9,2.4163547958865159,0.077886082542569818,2.2696894472318156,2.3627499659722173,2.4144933937429691,2.4678376254618701,2.5763383072852095,0.0015588245549558661
a_subj.10,3.6346011532216833,0.11202629716691405,3.4198797176952782,3.5579642783818568,3.6316872678221817,3.7093271392595986,3.8592201055759232,0.0022507707607762445
a_subj.11,2.053610186933077,0.063039894740282459,1.9352072831897755,2.0095535573784278,2.0524180283995075,2.095624475583143,2.1814367018942811,0.0012184623890133721
a_subj.12,2.312968222314606,0.066009282600599323,2.189476751704031,2.2671976436604138,2.3102177047276715,2.3564305958568648,2.4480743716052631,0.0011623792322847247
a_subj.13,4.3138843662027035,0.14214277396764985,4.0482418989042834,4.2155694662282999,4.3084350470993362,4.4071345871522123,4.6030765112983305,0.0025451964468186225
a_subj.14,1.9537314841617612,0.057872951499431377,1.8418646732985757,1.9144456048797676,1.9519403856542881,1.9921077574641053,2.0695752499429503,0.0010541012308107379
a_subj.15,2.888320797223308,0.078583461693251699,2.7397040557561532,2.8334814902227325,2.8867497855854682,2.9411081829231933,3.0454359181658117,0.0014291608482975018
a_subj.16,2.5047293403250568,0.073827833754958716,2.3641154931538408,2.4538269269463044,2.5026551586617649,2.5534757591767057,2.6533312009112962,0.0012755192760012311
a_subj.17,3.277064424765864,0.091845257733345703,3.1032412993084946,3.2138585031308402,3.273965767686962,3.3377835669576355,3.4601527257266365,0.0014249526932358584
