Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(Aperiodic),2.8740206497770791,0.1548023933512068,2.5742191448300602,2.7712597131726442,2.8725993540165389,2.9743557899825923,3.1872591712409375,0.0018936861227964556
a(Periodic),2.7721949236381884,0.15478824324907159,2.4730229591155202,2.6666565848042678,2.7700397488458002,2.8754322130564791,3.0828299344402987,0.0020314983490920882
a_std,0.69182005468415664,0.088391462814219723,0.54328943624756987,0.6285529359854477,0.68309214086033254,0.74611209425413194,0.89093020981671867,0.0012048118177572301
a_subj(Aperiodic).1,3.1160411942519715,0.11862312928462368,2.8946447598257539,3.0342266540671567,3.1114124378882977,3.1932405900580534,3.3566966537836929,0.0018369476664757052
a_subj(Aperiodic).2,1.7605770730909582,0.072690094195250937,1.6216707247942581,1.7100095316852826,1.7598025350474118,1.8090101199524762,1.9073941321473711,0.0010787005087226336
a_subj(Aperiodic).3,4.0595282778938211,0.15438075511047397,3.7693383879879629,3.9518469942007575,4.0557966684902658,4.1633646444790227,4.3660989481617882,0.002389019143382947
a_subj(Aperiodic).4,2.8438894130203307,0.10183768593100435,2.6505174856448757,2.7744642343647175,2.8411609454045754,2.9099763973530748,3.0551850564805321,0.0015932469353457861
a_subj(Aperiodic).5,3.1024483422767952,0.11485536810528045,2.8802183678872142,3.0228824449764566,3.102284927633967,3.1792445496057113,3.33043513648005,0.0020028252588532892
a_subj(Aperiodic).6,3.4014851818626548,0.13691531754140687,3.1494542470780384,3.3054587406894709,3.3970781314005309,3.4921046843087331,3.6823720025830502,0.0025310828233086609
a_subj(Aperiodic).7,2.4458327712677335,0.088925844984793015,2.2775300436752639,2.384104314037411,2.4451705147289053,2.5053066180307559,2.6263417787337815,0.0014570971563453391
a_subj(Aperiodic).8,3.2200277847475274,0.10557197744286274,3.0195987430816156,3.1485644402238604,3.217395292829583,3.2897335763501991,3.4338343615544114,0.0013112829904626806
a_subj(Aperiodic).9,2.4476496546873081,0.093465726562627666,2.2680172674086605,2.3842964295208637,2.4457656544281896,2.5100207479214216,2.6339278456345356,0.0014299599403455828
a_subj(Aperiodic).10,3.6154525247753058,0.13293352328354477,3.3679416387663594,3.5236922680620166,3.6120408138789473,3.7010217450750962,3.8900919079781087,0.0020982083872106622
a_subj(Aperiodic).11,2.084985310261843,0.077140150872824845,1.9414350130214888,2.0311673121744223,2.0827259433252143,2.1358170356933699,2.2409260821679542,0.0012023886490019017
a_subj(Aperiodic).12,2.3432232613126138,0.081778689457037076,2.1884772054760484,2.2870858160258782,2.3417070844847085,2.3978699379532382,2.5078551917514265,0.0013459378178132444
a_subj(Aperiodic).13,4.478299525530236,0.17006870647894959,4.1557724535914256,4.3605700304770414,4.4747614507769766,4.5920262362813302,4.8172686505803846,0.002732460326283815
a_subj(Aperiodic).14,2.1029107692768441,0.077123801740784162,1.9548837041405636,2.0496096476937571,2.10206335063046,2.1530465970333661,2.2599893904532444,0.0012378391597773378
a_subj(Aperiodic).15,2.9258130624421703,0.095880004677887654,2.74184836696578,2.8615816395479503,2.9247165063368241,2.9885094661335385,3.1208819814455699,0.0013480328971594024
a_subj(Aperiodic).16,2.4866014613370031,0.089104518321239182,2.3180367196334584,2.4260357776819266,2.4851510835008019,2.5434779535505569,2.6667341283014427,0.0014289125044455323
a_subj(Aperiodic).17,3.370754730122612,0.11431373344937967,3.1564604711817248,3.292020759727456,3.3673893359028613,3.4460971169920973,3.6025464602053563,0.0014069431378008017
a_subj(Aperiodic).18,2.5707580067448261,0.096271174464731546,2.3911230293968027,2.503777183858189,2.5684625345104553,2.6346445837289294,2.7663477198197048,0.0014301350455200143
a_subj(Aperiodic).19,3.1961302324393035,0.11202591911368812,2.9823446350813354,3.1198144603546343,3.193906867074038,3.2701029669934005,3.4217313313659776,0.0018357271806954442
a_subj(Aperiodic).20,2.4295951874571022,0.086896951022109342,2.2643131257037155,2.3704547726338867,2.4269569541606875,2.4876001537050541,2.6046261263924411,0.0015965791648749604
a_subj(Periodic).1,2.9345856281763756,0.11207286087192231,2.722441849765425,2.8586112199627332,2.9308178526944375,3.0082892731334256,3.1638311511522996,0.0017311140881937867
a_subj(Periodic).2,1.7407236110194502,0.066917064225068226,1.6131307437266362,1.6951835793635539,1.7398774801093002,1.7850572817644141,1.8735587501825468,0.0010299244174630049
a_subj(Periodic).3,3.9261768473711345,0.14569145046036361,3.6510295088237164,3.8259613342312853,3.9227438982218894,4.0209958457361399,4.2227197247773498,0.0021794002734881004
a_subj(Periodic).4,2.6924150685415396,0.09984315356433307,2.5032848681239899,2.6244994446768652,2.6897062823178413,2.758835554344178,2.8967868639086727,0.0015492218621033498
a_subj(Periodic).5,3.1435200844168802,0.11572910352683961,2.9210139801267583,3.0633516602601882,3.1407580460381337,3.2226155416034175,3.3737603914134944,0.0019633935055607425
a_subj(Periodic).6,3.4631018735884682,0.13412586548937322,3.2183376536810915,3.3704076521215707,3.4558268773652561,3.5487126929861303,3.7450327383578408,0.0026839863752808886
a_subj(Periodic).7,2.5558855993881373,0.088870418813197696,2.388390483278152,2.4945245386041486,2.5549179061385021,2.6156314655811697,2.7324661648501447,0.0013753575898387701
a_subj(Periodic).8,2.9528442987427237,0.099066499854354201,2.7628058462474216,2.8855633437676902,2.9513937720652446,3.0182321538977472,3.1491534569326531,0.0012612970744177183
a_subj(Periodic).9,2.4241501887633223,0.092327810243369987,2.2478566155134718,2.3610530124772917,2.421071701183874,2.4847657162648717,2.6094471178311229,0.0014993120453929906
a_subj(Periodic).10,3.6111537799639408,0.13285098400711504,3.3591686071023563,3.5194803423518684,3.6091357874464971,3.6992171628664501,3.8792961813743547,0.0019691039097793086
a_subj(Periodic).11,2.0521696440942176,0.077450716286549995,1.9055155614739665,1.9998213898542654,2.0502907071033345,2.1029544138097043,2.2097677369852393,0.0012618170866315662
a_subj(Periodic).12,2.2911865637650206,0.077342654518876994,2.1441083520511901,2.2385672856389971,2.2899381229206099,2.3423352744136321,2.4479894642377316,0.0012150449075033021
