Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.8341297624760577,0.16307055687004449,2.5235327267623311,2.7264203748447269,2.8306086970653719,2.937678189151737,3.1653575827831411,0.0017339564804267967
a_std,0.72215300453228393,0.13262851860465361,0.51775289093436616,0.62845218017535376,0.70400701790441134,0.79488022981735207,1.029234439464253,0.001759518413999736
a_subj.1,3.0386658818985599,0.093732302594272593,2.8625693641985883,2.9744143864960955,3.0353726768270413,3.098870655344188,3.233406820083859,0.0019001371892749519
a_subj.2,1.7341164932360997,0.057218460213041986,1.6236800769509412,1.6959216487779767,1.7336695344157853,1.7726067477921277,1.8487348041162368,0.00095355097069243339
a_subj.3,4.0377175927727045,0.12768723088945244,3.7900619549237997,3.9513858477867001,4.0354917242351247,4.1211299585935919,4.2970044107291132,0.0019569415550728738
a_subj.4,2.7849047750944731,0.086401392542598793,2.6249674403497449,2.7255122659787183,2.7822703377716258,2.842003839835364,2.9620512505463252,0.0015914930002416884
a_subj.5,3.1079664933958213,0.094654929341150121,2.9263224226620324,3.0429068572352418,3.1068262049388933,3.172774208247815,3.2953411502587007,0.0018270292268472842
a_subj.6,3.4500658851900736,0.11624068689452195,3.2335507640578149,3.3685356753157927,3.4448497480763987,3.5263336865257386,3.6901049164968334,0.0019883077200574233
a_subj.7,2.4834525300853412,0.070930773173344439,2.3456423029428017,2.4350152218971468,2.4828809016191107,2.5315641450496553,2.6237984983627944,0.0012187863715018409
a_subj.8,3.0916760966459935,0.082874004267972701,2.9318790279908526,3.034748780356908,3.0904274720871596,3.1468117622122205,3.2565953681446818,0.0013498462870674076
a_subj.9,2.4221591110291092,0.076585788745732283,2.2754943944373149,2.3696995016307727,2.4202160059912581,2.4726617402481117,2.5748020878114821,0.0014878846877452558
a_subj.10,3.6085826277537962,0.10806138779783321,3.3978352444944351,3.5356289078694907,3.6080454237802204,3.6814423717907165,3.8187778663974274,0.0019067124482344991
a_subj.11,2.0562860111659305,0.061974935239982577,1.9364961390241919,2.0141630432965334,2.0555599223847394,2.0973027188856772,2.1790319447488513,0.0010980561193546406
