Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.8354458486002638,0.16221014694915237,2.529343067905033,2.7295267189842534,2.8306942935087163,2.9370637050450719,3.1719192160228595,0.0021811972260792831
a_std,0.72835708210323413,0.13622808283973337,0.52566788504962358,0.63321124430201903,0.70862878834859888,0.7987313495797248,1.0508272054764074,0.0019002290383736136
a_subj.1,3.0580398254286862,0.096280647791063864,2.8759419992948896,2.993694438685262,3.0552510094664322,3.1197456001092965,3.2515777109496287,0.0017041996336525586
a_subj.2,1.7403808800948026,0.057259235727017292,1.6287228830241256,1.7020287920475232,1.7400825445021981,1.7781383360127032,1.8542644907655428,0.00096006137419613958
a_subj.3,4.0639519466381735,0.12810740935067469,3.8247048202521339,3.9765010842078605,4.0598740169963516,4.1484182889198431,4.3194215236387263,0.0022497345568030578
a_subj.4,2.7801891351340107,0.085300374712406549,2.6190386025016017,2.7225848377367279,2.7779610899565705,2.8368541836644372,2.9533585425495437,0.0016523647148869026
a_subj.5,3.0795660126177369,0.092158941657700444,2.8989069972229018,3.0172979819145578,3.0785444543616016,3.1419686257897612,3.2615473424643522,0.0016959140490601713
a_subj.6,3.415342920103285,0.11286358363169426,3.2049072285340774,3.3378384989593739,3.4131262487479508,3.4889058247399736,3.644615893556125,0.0023715370981089393
a_subj.7,2.4822442679805046,0.068998804081141701,2.3473575664580446,2.4369340694455364,2.4813713238903139,2.5281540048734046,2.6187319267194868,0.0011066874106091882
a_subj.8,3.1228020494629329,0.086087685763671248,2.9618985784876046,3.063404430498021,3.1204180220714801,3.1791741489540408,3.2977581949353434,0.0014116509101467112
a_subj.9,2.4088581948729817,0.075128461816540454,2.2644306423235734,2.3579114959036858,2.4074644619278347,2.4587093823108517,2.5608520809874498,0.0012325153613411128
a_subj.10,3.6130261448769225,0.10938995120793947,3.4055854895527049,3.5385610058201533,3.6128025227920739,3.6850183097518538,3.8359830069799994,0.002185511962406328
a_subj.11,2.0454883968289064,0.059913255118262551,1.9303669332439866,2.0047359348336573,2.0445548797850086,2.0854323802606931,2.1642774846836224,0.0011400751978819126
a_subj.12,2.3195683580327109,0.066338771295082657,2.1954922913103938,2.2729849251287719,2.3177227569300944,2.3638171428351895,2.4538058185261549,0.0010961526223221062
a_subj.13,4.3322233092026394,0.13963133740066255,4.0682177088685796,4.2359735401113809,4.3301503536069532,4.4236947365621324,4.6152253692360672,0.0027378850834717128
a_subj.14,1.9479538973912731,0.059246023536406157,1.8353375196893642,1.908000769325654,1.9467207237226396,1.9871535654734682,2.0679051770606236,0.00098605312745385452
a_subj.15,2.8947843829399811,0.077792338918100334,2.744147040085581,2.8425357679022403,2.8936132681321958,2.9460494766977039,3.0507933773831981,0.0013918743119691471
a_subj.16,2.5117630496844789,0.074973850550176857,2.369893175472197,2.4602877176892144,2.5107404648584772,2.5605127362156432,2.6631627497652186,0.0012888846427267389
a_subj.17,3.2835832366800219,0.094556099065422103,3.1052507026858973,3.218570749860469,3.2812570301338764,3.3459965609645876,3.4756914361253202,0.0014542003941117316
a_subj.18,2.381222589345307,0.072035369756454803,2.2457019835314527,2.3320897747886953,2.3787617845575735,2.4283763311978372,2.5301149305883079,0.0012016242024201964
a_subj.19,3.2464103461951321,0.093475154286881718,3.0690065995217748,3.1821690847049329,3.244249917569169,3.3068815474665083,3.4371388554577953,0.0015818133488290725
a_subj.20,2.336771689367882,0.067332386392963101,2.2079422610076964,2.290565767058196,2.33501266160714,2.3804931687875879,2.4744922300400329,0.0012532268335351039
v(-4.Aperiodic),-1.4680831968002568,0.079013513642342534,-1.6277552481281192,-1.5200980715877788,-1.4682317894804466,-1.4151083475590323,-1.3154204223157506,0.0012178552425743212
v(-4.Periodic),-1.4569759316180215,0.077996581669213277,-1.6108906337228819,-1.5089336037219698,-1.4572469699818096,-1.4048210670853722,-1.3031812765866135,0.0010880015617472161
v(-2.Aperiodic),-0.76771983324182624,0.074785419538402856,-0.91569581094700303,-0.81791866391521051,-0.76739613298859599,-0.71536656618149808,-0.62575203912762911,0.0011018326164354904
v(-2.Periodic),-0.84068638292415254,0.074797941130079273,-0.9878118774478637,-0.88951767379766811,-0.84067594012935065,-0.79089010739742738,-0.69593755690260228,0.00092964093840951461
v(-1.Aperiodic),-0.3322872025953158,0.070768419809066452,-0.47121039429733952,-0.37968701934169702,-0.33220243498793411,-0.28557148318226105,-0.19241961580421493,0.00095336467891710857
v(-1.Periodic),-0.44650729100990383,0.070981419283451308,-0.58745271848935654,-0.49394832113775267,-0.44544996160235234,-0.39737369684433638,-0.30992573794544132,0.00085917750182081724
