"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,4,4,7.38,"Aperiodic",7,1.995,1
1,1,1,1.845,"Aperiodic",8,2.381,1
1,-4,4,-7.38,"Aperiodic",4,1.417,1
1,-2,2,-3.69,"Aperiodic",11,3.646,1
1,-2,2,-3.69,"Periodic",6,1.703,1
1,2,2,3.69,"Aperiodic",4,1.268,1
1,2,2,3.69,"Aperiodic",7,2.208,1
1,4,4,7.38,"Periodic",5,1.347,1
1,-4,4,-7.38,"Periodic",5,1.606,1
1,-2,2,-3.69,"Aperiodic",8,2.35,1
1,1,1,1.845,"Periodic",6,1.833,1
1,2,2,3.69,"Periodic",6,1.825,1
1,-1,1,-1.845,"Periodic",5,1.565,1
1,-1,1,-1.845,"Periodic",12,3.968,1
1,4,4,7.38,"Periodic",5,1.527,1
1,4,4,7.38,"Periodic",5,1.582,1
1,-4,4,-7.38,"Periodic",7,2.045,1
1,4,4,7.38,"Aperiodic",9,2.816,1
1,-4,4,-7.38,"Periodic",7,2.179,1
1,2,2,3.69,"Periodic",6,1.74,1
1,-2,2,-3.69,"Aperiodic",9,2.928,1
1,1,1,1.845,"Periodic",3,0.978,1
1,2,2,3.69,"Aperiodic",8,2.313,1
1,4,4,7.38,"Aperiodic",7,1.658,1
1,-1,1,-1.845,"Aperiodic",6,1.835,1
1,1,1,1.845,"Aperiodic",14,4.042,0
1,1,1,1.845,"Aperiodic",5,1.653,1
1,-2,2,-3.69,"Aperiodic",3,1.097,1
1,-2,2,-3.69,"Periodic",4,1.262,1
1,-2,2,-3.69,"Periodic",8,2.426,1
1,-1,1,-1.845,"Aperiodic",13,3.832,0
1,-4,4,-7.38,"Periodic",5,1.398,1
1,-1,1,-1.845,"Aperiodic",8,2.623,1
1,-4,4,-7.38,"Aperiodic",6,2.065,1
1,-2,2,-3.69,"Periodic",9,2.933,0
1,2,2,3.69,"Aperiodic",5,1.217,1
1,4,4,7.38,"Aperiodic",5,1.62,1
1,-2,2,-3.69,"Aperiodic",14,4.79,1
1,-4,4,-7.38,"Aperiodic",6,1.79,1
1,1,1,1.845,"Periodic",8,2.479,1
1,1,1,1.845,"Aperiodic",9,2.518,1
1,-1,1,-1.845,"Periodic",8,2.581,1
1,2,2,3.69,"Periodic",4,1.317,1
1,-1,1,-1.845,"Aperiodic",12,3.952,0
1,4,4,7.38,"Aperiodic",11,3.388,1
1,-2,2,-3.69,"Periodic",5,1.485,1
1,-1,1,-1.845,"Aperiodic",7,2.34,1
1,1,1,1.845,"Aperiodic",8,2.559,1
