"subj_idx","level","absLevel","levelMean","periodicity","nEvents","rt","response"
1,4,4,7.38,"Periodic",8,2.383,1
1,0,0,0,"Periodic",9,2.903,0
1,2,2,3.69,"Aperiodic",10,2.811,1
1,-2,2,-3.69,"Aperiodic",8,2.193,0
1,0,0,0,"Aperiodic",6,1.68,1
1,-2,2,-3.69,"Periodic",8,2.631,0
1,-4,4,-7.38,"Aperiodic",7,2.253,0
1,-2,2,-3.69,"Aperiodic",11,3.552,0
1,-4,4,-7.38,"Periodic",8,2.531,0
1,-1,1,-1.845,"Aperiodic",14,4.491,0
1,-2,2,-3.69,"Periodic",8,2.581,0
1,4,4,7.38,"Periodic",7,2.174,1
1,-1,1,-1.845,"Periodic",7,2.31,0
1,4,4,7.38,"Periodic",6,1.986,1
1,1,1,1.845,"Periodic",8,2.525,0
1,-2,2,-3.69,"Periodic",9,2.809,1
1,-1,1,-1.845,"Aperiodic",7,1.892,0
1,1,1,1.845,"Periodic",8,2.6,1
1,4,4,7.38,"Aperiodic",7,1.995,1
1,1,1,1.845,"Aperiodic",8,2.381,1
1,-4,4,-7.38,"Aperiodic",4,1.417,0
1,-2,2,-3.69,"Aperiodic",11,3.646,0
1,-2,2,-3.69,"Periodic",6,1.703,0
1,2,2,3.69,"Aperiodic",4,1.268,1
1,2,2,3.69,"Aperiodic",7,2.208,1
1,4,4,7.38,"Periodic",5,1.347,1
1,-4,4,-7.38,"Periodic",5,1.606,0
1,-2,2,-3.69,"Aperiodic",8,2.35,0
1,1,1,1.845,"Periodic",6,1.833,1
1,0,0,0,"Aperiodic",6,2.162,0
1,2,2,3.69,"Periodic",6,1.825,1
1,-1,1,-1.845,"Periodic",5,1.565,0
1,-1,1,-1.845,"Periodic",12,3.968,0
1,4,4,7.38,"Periodic",5,1.527,1
1,0,0,0,"Aperiodic",9,2.718,0
1,4,4,7.38,"Periodic",5,1.582,1
1,-4,4,-7.38,"Periodic",7,2.045,0
1,4,4,7.38,"Aperiodic",9,2.816,1
1,-4,4,-7.38,"Periodic",7,2.179,0
1,2,2,3.69,"Periodic",6,1.74,1
1,-2,2,-3.69,"Aperiodic",9,2.928,0
1,0,0,0,"Periodic",7,2.056,1
1,1,1,1.845,"Periodic",3,0.978,1
1,2,2,3.69,"Aperiodic",8,2.313,1
1,4,4,7.38,"Aperiodic",7,1.658,1
1,-1,1,-1.845,"Aperiodic",6,1.835,0
1,1,1,1.845,"Aperiodic",14,4.042,0
1,1,1,1.845,"Aperiodic",5,1.653,1
1,0,0,0,"Periodic",13,4.012,0
1,-2,2,-3.69,"Aperiodic",3,1.097,0
1,-2,2,-3.69,"Periodic",4,1.262,0
1,-2,2,-3.69,"Periodic",8,2.426,0
1,-1,1,-1.845,"Aperiodic",13,3.832,1
1,-4,4,-7.38,"Periodic",5,1.398,0
1,-1,1,-1.845,"Aperiodic",8,2.623,0
1,-4,4,-7.38,"Aperiodic",6,2.065,0
1,-2,2,-3.69,"Periodic",9,2.933,1
1,2,2,3.69,"Aperiodic",5,1.217,1
1,4,4,7.38,"Aperiodic",5,1.62,1
1,-2,2,-3.69,"Aperiodic",14,4.79,0
1,-4,4,-7.38,"Aperiodic",6,1.79,0
1,1,1,1.845,"Periodic",8,2.479,1
1,1,1,1.845,"Aperiodic",9,2.518,1
1,-1,1,-1.845,"Periodic",8,2.581,0
1,0,0,0,"Periodic",8,2.523,1
1,2,2,3.69,"Periodic",4,1.317,1
1,-1,1,-1.845,"Aperiodic",12,3.952,1
1,0,0,0,"Aperiodic",10,3.024,1
1,4,4,7.38,"Aperiodic",11,3.388,1
1,-2,2,-3.69,"Periodic",5,1.485,0
1,-1,1,-1.845,"Aperiodic",7,2.34,0
1,0,0,0,"Periodic",12,3.915,0
1,0,0,0,"Aperiodic",9,2.736,1
1,1,1,1.845,"Aperiodic",8,2.559,1
1,0,0,0,"Aperiodic",10,3.093,1
1,2,2,3.69,"Periodic",9,2.977,1
1,4,4,7.38,"Periodic",7,2.067,1
1,-1,1,-1.845,"Periodic",9,2.7,0
1,2,2,3.69,"Aperiodic",9,2.681,1
1,1,1,1.845,"Periodic",9,2.952,0
1,-4,4,-7.38,"Aperiodic",6,1.505,0
1,0,0,0,"Periodic",5,1.492,1
1,4,4,7.38,"Periodic",7,2.015,1
1,2,2,3.69,"Periodic",7,2.32,1
1,-1,1,-1.845,"Periodic",9,2.863,0
1,-4,4,-7.38,"Aperiodic",10,2.994,0
1,-4,4,-7.38,"Periodic",4,1.095,0
1,4,4,7.38,"Periodic",5,1.401,1
1,-4,4,-7.38,"Aperiodic",6,1.92,0
1,-4,4,-7.38,"Periodic",6,1.938,0
1,4,4,7.38,"Periodic",4,1.286,1
1,4,4,7.38,"Aperiodic",6,1.695,1
1,-4,4,-7.38,"Periodic",4,1.212,0
1,-2,2,-3.69,"Aperiodic",6,1.8,0
1,-1,1,-1.845,"Periodic",5,1.497,1
1,-4,4,-7.38,"Aperiodic",6,1.761,0
1,-4,4,-7.38,"Periodic",4,1.15,0
1,0,0,0,"Aperiodic",11,3.061,0
1,-4,4,-7.38,"Aperiodic",5,1.562,0
1,0,0,0,"Aperiodic",6,1.89,0
1,2,2,3.69,"Aperiodic",6,1.808,1
1,0,0,0,"Aperiodic",5,1.31,1
1,0,0,0,"Periodic",6,1.684,0
1,1,1,1.845,"Aperiodic",6,1.851,1
1,-1,1,-1.845,"Periodic",9,2.805,0
1,-2,2,-3.69,"Periodic",6,1.916,0
1,-2,2,-3.69,"Aperiodic",5,1.788,0
1,1,1,1.845,"Periodic",7,2.288,1
1,1,1,1.845,"Periodic",7,2.326,1
1,1,1,1.845,"Periodic",5,1.574,1
1,-4,4,-7.38,"Aperiodic",9,2.756,0
1,1,1,1.845,"Periodic",7,2.076,1
1,-1,1,-1.845,"Aperiodic",6,2.114,1
1,-2,2,-3.69,"Aperiodic",7,2.134,0
1,-1,1,-1.845,"Periodic",7,2.268,0
1,1,1,1.845,"Aperiodic",8,2.341,1
