Parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v(4.Aperiodic),1.509669382381996,0.078256462637982138,1.35859345251702,1.4569069280991451,1.5094490787302031,1.5615440024747824,1.6650273052517561,0.0011846445670755858
v(4.Periodic),1.5471928092780329,0.079481977179342286,1.3902429972849095,1.4942567149352532,1.5471651376604501,1.6003113821359909,1.7006970523065983,0.0011912453312720593
v_std,0.2839822502570904,0.018088152719729231,0.25035219691769917,0.27155154706534507,0.28348731475021827,0.29552583024775325,0.32141267605655149,0.00033041642058783842
v_subj(-4.Aperiodic).1,-1.3153996919224322,0.14253375024371132,-1.6019065150838385,-1.4115653530540224,-1.3138970183605765,-1.2189432316573368,-1.0393215499683679,0.0015088272641552655
v_subj(-4.Aperiodic).2,-1.561672650873789,0.20220592257166714,-1.9724937529928033,-1.6985498219944328,-1.5571939762175366,-1.4222760350074328,-1.1766263113920938,0.00197781982541407
v_subj(-4.Aperiodic).3,-1.1534172924744264,0.12331001690996439,-1.3971838164435775,-1.2345272759837218,-1.1520980793444451,-1.0720678480172054,-0.91052934774442185,0.0014702065672905632
v_subj(-4.Aperiodic).4,-1.2927776273136466,0.15425908997678275,-1.600855175414386,-1.396486587615674,-1.2898015619997905,-1.1875865376320498,-0.9944093926236941,0.001677084895755561
v_subj(-4.Aperiodic).5,-1.9348972389189558,0.1850792817060728,-2.3007123431088901,-2.0585254029023634,-1.9358704695128537,-1.8068497608201191,-1.5802000729840107,0.0022561031072480895
v_subj(-4.Aperiodic).6,-1.6492378831952232,0.16117045940494415,-1.9750463060421095,-1.7574139804928139,-1.646478916590552,-1.5378146190620008,-1.3412767593836927,0.0020531685915730585
v_subj(-4.Aperiodic).7,-1.8908661683656216,0.19343334832111916,-2.2746949365755094,-2.0180333888961322,-1.8897052159891343,-1.7584003617588204,-1.5131767506728218,0.0021179192093969991
v_subj(-4.Aperiodic).8,-1.3340115764265921,0.17181547363577662,-1.6756926943940202,-1.4508642218386862,-1.3327537512728298,-1.2166988261242366,-1.0066328274113512,0.0018867450739943462
v_subj(-4.Aperiodic).9,-1.8688782443406755,0.20713855287280766,-2.2727185122775349,-2.0076757582648317,-1.8659357741143217,-1.7257986782676471,-1.4640014119677973,0.0023640133079143931
v_subj(-4.Aperiodic).10,-1.6899315236147365,0.17039277561645194,-2.0369194895428442,-1.8021876768555112,-1.6848819963677739,-1.5745510978968145,-1.3691343465827783,0.0023191623631077219
v_subj(-4.Aperiodic).11,-1.5925318653525047,0.18281561069884261,-1.9607117819905584,-1.7136532602688299,-1.5934066296943752,-1.4711662764828519,-1.2340343513999481,0.0019377372690039935
v_subj(-4.Aperiodic).12,-1.3311505443736886,0.18483920289482481,-1.7029089989025821,-1.4554275182450334,-1.3288618575198798,-1.2064965308824473,-0.97328919819530157,0.0022890313240109456
v_subj(-4.Aperiodic).13,-1.0532628365913959,0.11489138086355817,-1.2802856947738483,-1.1297610879585784,-1.0529975063788897,-0.97591493210094327,-0.82993811076302237,0.0014455869719853822
v_subj(-4.Aperiodic).14,-1.6743566712772835,0.1932975141720594,-2.0642690004367168,-1.8060308756272998,-1.6699472143812881,-1.5433876436270113,-1.3084337089980198,0.0021087379982288549
v_subj(-4.Aperiodic).15,-1.23701688764533,0.162011929260228,-1.557400087915267,-1.3432819172870145,-1.2367607310318869,-1.1271203176124929,-0.91996524502293919,0.0018975388349629992
v_subj(-4.Aperiodic).16,-1.5302287711931568,0.15960430231199157,-1.84087303927961,-1.6378094372615597,-1.5308301932718629,-1.4228645999247516,-1.2211613641340675,0.0016803249896826032
v_subj(-4.Aperiodic).17,-0.97646201641458896,0.13694186873278649,-1.2426526264021787,-1.0684872036679494,-0.97535199488719204,-0.8838925511079726,-0.71102777410530926,0.0014950997387689949
v_subj(-4.Aperiodic).18,-1.6530027542076005,0.18065726943535537,-2.0155035696435051,-1.7717220804084748,-1.6500333087567831,-1.5290176514969558,-1.306454383522083,0.0020020071961713562
v_subj(-4.Aperiodic).19,-1.2166140088765325,0.14624469426538159,-1.5138851438278975,-1.313895529162759,-1.2153655444974634,-1.1186768549478163,-0.93724852838446471,0.0015515424596263092
v_subj(-4.Aperiodic).20,-1.6021377080800434,0.17408698829790156,-1.9443222724598723,-1.718519629974014,-1.6024246277133503,-1.4853798003060734,-1.2639843351837659,0.0019505850492424718
v_subj(-4.Periodic).1,-1.4045563490724311,0.15180953188484705,-1.7027630685655457,-1.5056493388356038,-1.4024356915837073,-1.3013850802393871,-1.1052351405922647,0.0018925346638339405
v_subj(-4.Periodic).2,-1.5851980386078248,0.21507600737006274,-2.0158419085733779,-1.727524312805,-1.5799163541129313,-1.440409407198783,-1.1637402553799392,0.0023604095156508388
v_subj(-4.Periodic).3,-1.113460214595938,0.12481545530326611,-1.3629709503655025,-1.1962740365356253,-1.1116980899376798,-1.0274659862007554,-0.87333094944152811,0.0012345059394134332
v_subj(-4.Periodic).4,-1.259660522545677,0.14397347284286421,-1.5464121732053009,-1.355674342467359,-1.2575857590596209,-1.1645252910862938,-0.97719680091865402,0.0013839944626862965
v_subj(-4.Periodic).5,-1.8987851191171932,0.17358871976101739,-2.2424049047534962,-2.0136284136364671,-1.8975933151342457,-1.7808380594940276,-1.5700682753902211,0.0022217384259118414
v_subj(-4.Periodic).6,-1.5715586395206285,0.14720737461512828,-1.8608779944470399,-1.6685288163000442,-1.5689859653009406,-1.4746775921539073,-1.2821264018756227,0.0018849927845743398
v_subj(-4.Periodic).7,-1.8233922006380163,0.19853516973956059,-2.2240555931136821,-1.9564671845363131,-1.8169626944959718,-1.6876783769777368,-1.4452160974755626,0.0023047471780882722
v_subj(-4.Periodic).8,-1.2603476950917143,0.15103371341062538,-1.5583194167671257,-1.3618296894556039,-1.2596749536000695,-1.1570816500136809,-0.95718835195913055,0.0016673386385394669
v_subj(-4.Periodic).9,-1.8764589155111986,0.19107616288186458,-2.2568990672385691,-2.0021432038201556,-1.8729373431485883,-1.7482750724958569,-1.5005248542870493,0.0023455331761820268
v_subj(-4.Periodic).10,-1.5808515223482631,0.18052884883913656,-1.944525255163406,-1.6989740616433731,-1.5740148129649456,-1.4567293668745438,-1.2395239701158614,0.0022484842800774346
v_subj(-4.Periodic).11,-1.4187207308397922,0.17426571175733788,-1.7570810142841491,-1.5363812936506815,-1.4184123002120601,-1.2989634789473659,-1.0822070184930404,0.0019110842853035932
v_subj(-4.Periodic).12,-1.4331422811491181,0.19435748757529578,-1.8116051559809787,-1.5659798266018046,-1.4341375795489988,-1.3037719631925868,-1.0509938228518496,0.0020844922169306916
v_subj(-4.Periodic).13,-1.0614786484840835,0.12697731499681097,-1.3127407932110446,-1.1454925355442214,-1.058945439015355,-0.97487765573283691,-0.81743424804147269,0.0014884799675771744
v_subj(-4.Periodic).14,-1.6450547504606809,0.18733164055518756,-2.0152073900790755,-1.7732739674686242,-1.6430840478873525,-1.5178773322893031,-1.2806766021564755,0.0018977457524735769
v_subj(-4.Periodic).15,-1.2010561181959776,0.16457975587229165,-1.5315390044118411,-1.3090761155873003,-1.1957771448561751,-1.0879415212632475,-0.89303273484310686,0.0020202102211549946
v_subj(-4.Periodic).16,-1.4461806595362476,0.17101871459829882,-1.7871305256124315,-1.5570423345182109,-1.4452999573201255,-1.3303070390631808,-1.1144299368912529,0.0018356800981210153
v_subj(-4.Periodic).17,-1.0294107262335415,0.13946102562007315,-1.3043935826841819,-1.1201327282498648,-1.0277783462556196,-0.9337252177503228,-0.76365743241397421,0.0014886837833194594
v_subj(-4.Periodic).18,-1.5148698789368404,0.17963150047738302,-1.8727052073271011,-1.6349117660509531,-1.5123951140641181,-1.3917176732687417,-1.1731773154573011,0.0017339500536926321
v_subj(-4.Periodic).19,-1.250961066391628,0.15069457507694181,-1.5514981957797942,-1.3516378417837824,-1.2484181463996866,-1.1475170360513083,-0.96267001614172254,0.0018152383312307039
v_subj(-4.Periodic).20,-1.5927662649906498,0.20035069617725801,-1.9986941681848474,-1.7261365266104083,-1.5876148138828499,-1.4544311899264288,-1.2158057357986738,0.0022592197737438661
v_subj(-2.Aperiodic).1,-0.87759354530873845,0.12110019547516633,-1.1134097520864343,-0.96091352486969184,-0.87635218053477104,-0.79413684658029982,-0.64260575661525454,0.0012931671670481639
v_subj(-2.Aperiodic).2,-1.1781533685996026,0.19637514075085866,-1.5726397363094951,-1.3069664484432533,-1.1756224845969632,-1.04499475975554,-0.79992353093517377,0.0021853721977031244
v_subj(-2.Aperiodic).3,-0.59796546781165605,0.11913203210919492,-0.83433566713825225,-0.6768884336468276,-0.5936660400158571,-0.51654781349605994,-0.37294945497182952,0.001342536005271033
v_subj(-2.Aperiodic).4,-0.67302654751041269,0.13418887916615424,-0.9426765882409196,-0.76286132614487834,-0.67013244959643314,-0.58126311454391799,-0.41563368750671037,0.0014214732513046573
v_subj(-2.Aperiodic).5,-1.0197856417067912,0.14752238591999323,-1.3171717218325028,-1.1173198592201905,-1.0150174137681769,-0.92027079459178207,-0.73692484069167208,0.0017808737306937504
v_subj(-2.Aperiodic).6,-0.95194162096053148,0.12501728963139006,-1.2034923052295681,-1.0360397202934952,-0.95277087920310977,-0.8671074436516768,-0.70949958152018877,0.0014320079566748039
v_subj(-2.Aperiodic).7,-1.1734969118291549,0.19013032889782888,-1.5483555896268981,-1.3004457791903643,-1.1730361295466261,-1.0453093612565427,-0.8091229319058626,0.0020261095233302714
v_subj(-2.Aperiodic).8,-0.4518881476868627,0.11477589906866421,-0.68171631169466163,-0.52948633380084908,-0.44822673549112541,-0.37414041852593605,-0.23092715684274312,0.0012273346084186016
v_subj(-2.Aperiodic).9,-0.91875643665142448,0.14361945938292239,-1.2073787832018974,-1.0143547751817548,-0.91580857330930598,-0.82180462499535367,-0.64207403367247728,0.0016052482160450261
v_subj(-2.Aperiodic).10,-0.65575872088673315,0.11612548286752361,-0.89118696427240451,-0.73347538757107811,-0.6537697342172637,-0.57773180318874517,-0.43314652984372404,0.0013399848156196155
